code,name,market_cap_100m
005930,삼성전자,15755720
000660,SK하이닉스,13557938
402340,SK스퀘어,1501295
009150,삼성전기,1048699
373220,LG에너지솔루션,868140
005380,현대차,794460
207940,삼성바이오로직스,672144
105560,KB금융,610062
028260,삼성물산,609750
032830,삼성생명,607000
034020,두산에너빌리티,587394
012450,한화에어로스페이스,539868
055550,신한지주,519211
000270,기아,495043
329180,HD현대중공업,486495
006400,삼성SDI,462560
034730,SK,436466
068270,셀트리온,425922
012330,현대모비스,375000
086790,하나금융지주,367652
066570,LG전자,333099
035420,NAVER,319360
010120,LS ELECTRIC,317250
000810,삼성화재,286190
298040,효성중공업,273302
267260,HD현대일렉트릭,270713
042660,한화오션,269950
005490,POSCO홀딩스,267043
096770,SK이노베이션,259496
010130,고려아연,256111
009540,HD한국조선해양,251952
316140,우리금융지주,246823
042700,한미반도체,238757
015760,한국전력,216662
000150,두산,210357
138040,메리츠금융지주,209184
267250,HD현대,201432
051910,LG화학,201188
011200,HMM,196665
017670,SK텔레콤,196103
006800,미래에셋증권,190328
010140,삼성중공업,190080
010950,S-Oil,186774
003550,LG,180069
033780,KT&G,174816
018260,삼성에스디에스,173713
003670,포스코퓨처엠,170865
024110,기업은행,164269
035720,카카오,155271
086280,현대글로비스,151875
000720,현대건설,148771
079550,LIG디펜스앤에어로스페이스,147400
278470,에이피알,137959
064350,현대로템,137628
272210,한화시스템,134321
030200,KT,133823
011070,LG이노텍,130879
047810,한국항공우주,125840
005830,DB손해보험,121896
078930,GS,113425
003490,대한항공,109729
307950,현대오토에버,107639
071050,한국금융지주,107439
323410,카카오뱅크,103058
006260,LS,102960
047050,포스코인터내셔널,102035
028050,삼성E&A,99568
005940,NH투자증권,98024
180640,한진칼,95803
259960,크래프톤,95613
003230,삼양식품,95292
443060,HD현대마린솔루션,94374
0126Z0,삼성에피스홀딩스,86593
007660,이수페타시스,82438
090430,아모레퍼시픽,80895
047040,대우건설,79921
161390,한국타이어앤테크놀로지,78165
016360,삼성증권,77869
000880,한화,75727
352820,하이브,75092
039490,키움증권,71734
064400,LG씨엔에스,69854
009830,한화솔루션,69266
021240,코웨이,69210
267270,HD건설기계,68528
326030,SK바이오팜,65626
062040,산일전기,64503
377300,카카오페이,63510
128940,한미약품,63350
032640,LG유플러스,63282
241560,두산밥캣,60964
001440,대한전선,60953
000100,유한양행,58892
175330,JB금융지주,58008
052690,한전기술,54692
029780,삼성카드,53237
066970,엘앤에프,51669
088350,한화생명,49593
000990,DB하이텍,48507
138930,BNK금융지주,47621
271560,오리온,47434
454910,두산로보틱스,46929
011790,SKC,45630
036570,NC,45350
004020,현대제철,44904
034220,LG디스플레이,44750
051900,LG생활건강,43653
002380,KCC,43222
010060,OCI홀딩스,42288
001450,현대해상,41771
082740,한화엔진,41014
008930,한미사이언스,38299
001040,CJ,38075
004170,신세계,36977
018880,한온시스템,36073
036460,한국가스공사,33371
022100,포스코DX,33295
161890,한국콜마,33117
011780,금호석유화학,32704
028670,팬오션,32127
111770,영원무역,32125
375500,DL이앤씨,31419
035250,강원랜드,31385
023530,롯데쇼핑,31372
012750,에스원,31083
192820,코스맥스,30246
017800,현대엘리베이터,29592
302440,SK바이오사이언스,29264
251270,넷마블,29147
011170,롯데케미칼,29001
139130,iM금융지주,28837
009420,한올바이오파마,28366
097950,CJ제일제당,27308
450080,에코프로머티,26732
007340,DN오토모티브,25920
026960,동서,25523
004370,농심,25151
282330,BGF리테일,25130
383220,F&F,24822
004990,롯데지주,24766
005850,에스엘,23735
204320,HL만도,23337
000240,한국앤컴퍼니,23021
483650,달바글로벌,22834
103140,풍산,22391
014680,한솔케미칼,21911
009970,영원무역홀딩스,21904
030000,제일기획,21731
051600,한전KPS,21600
112610,씨에스윈드,21423
081660,미스토홀딩스,21342
069960,현대백화점,21004
007070,GS리테일,20943
139480,이마트,20696
457190,이수스페셜티케미컬,20579
073240,금호타이어,20395
002790,아모레퍼시픽홀딩스,19496
071970,HD현대마린엔진,17910
120110,코오롱인더,17039
000120,CJ대한통운,16653
006040,동원산업,16530
008770,호텔신라,16366
011210,현대위아,15528
001800,오리온홀딩스,15309
001430,세아베스틸지주,15008
006280,녹십자,14888
298020,효성티앤씨,14800
361610,SK아이이테크놀로지,14533
093370,후성,14318
007310,오뚜기,13386
069620,대웅제약,13255
280360,롯데웰푸드,12803
300720,한일시멘트,12068
004000,롯데정밀화학,12061
192080,더블유게임즈,11835
000210,DL,11735
017960,한국카본,11678
000080,하이트진로,10695
003240,태광산업,10298
003090,대웅,9552
285130,SK케미칼,9427
185750,종근당,9316
009240,한샘,9166
034230,파라다이스,9133
005300,롯데칠성,9046
071320,지역난방공사,8660
298050,HS효성첨단소재,7727
137310,에스디바이오센서,7462
000670,영풍,7345
456040,OCI,7215
006650,대한유화,7169
069260,TKG휴켐스,6753
268280,미원에스씨,6665
001680,대상,6430
014820,동원시스템즈,6146
002840,미원상사,5814
0220W0,한화머시너리앤서비스홀딩스,5797
003030,세아제강지주,4419
005420,코스모화학,4167
002030,아세아,4138
008730,율촌화학,3965
